Name,Year,IMDb Rating,Genre,Director,Duration (mins),Language,Box Office (Millions),Production Company,Lead Actor,Lead Actress,Country,Number of Votes,Budget (Millions),Is Sequel
Dark inside mean,1998,8.2,Comedy,Gregory Woodard,99,English,775.3,Rice PLC,April Curtis,Cindy Perez,Liberia,704798,239.43,True
Fly fire,1988,4.4,Drama,Aaron Howard,118,Spanish,890.79,Pena and Sons,Amy Williams,Kenneth Delgado,Ukraine,617638,178.52,True
Movie draw item,2014,4.5,Sci-Fi,Jordan Patterson,158,English,976.74,"Rogers, Ortiz and Gregory",Robert Garrison,Joseph Hernandez,Guatemala,886136,45.45,True
Base include when,1973,2.8,Drama,Hannah Carpenter,151,German,389.93,"Price, Montgomery and Johnson",Julie Butler,James Rogers,Uganda,117117,189.05,False
Into thank weight,2007,6.8,Comedy,Michael Hill,91,Korean,211.32,Neal-Gomez,Ralph Moore,Luke Rodriguez,United States of America,932871,144.24,False
Condition professional gun,2016,4.1,Fantasy,Tara Johnson,173,Mandarin,691.41,Jackson Group,Sara Jackson,Derek Smith,Cayman Islands,753058,127.25,True
Crime happy thank,1994,3.7,Sci-Fi,Ashley Clements,88,English,178.78,Brown Group,Teresa Clarke,Kenneth Davis,Chad,665673,227.87,False
Respond would remember,2010,1.0,Sci-Fi,Monica Jones,163,Hindi,520.36,Chapman-Jordan,Elizabeth Fuller,Amanda Ortiz,Malawi,151139,103.69,True
Ok key,2005,7.6,Animation,William Smith,128,Hindi,593.68,Barker PLC,Yvonne Murphy,Tiffany Griffin,Isle of Man,849126,232.85,False
Assume sort every catch,1998,6.3,Mystery,Thomas Smith,140,English,141.03,Harrington-Valdez,Matthew Frank,Stacy Brown,Romania,695636,39.68,False
Series feel keep,2002,1.0,Horror,Christine Thompson,142,Spanish,880.6,Butler LLC,Richard Rhodes,Albert Robertson,Papua New Guinea,230660,177.99,True
Though beautiful world,2011,7.1,Drama,Eric Daniel,132,German,730.97,Johnston-Walsh,Denise Mcneil,Wendy Hoffman,South Georgia and the South Sandwich Islands,267577,183.83,True
Strategy exactly ok,1983,5.3,Sci-Fi,Allison Miller,112,Hindi,303.49,Hanson Group,Nancy Hernandez,Michelle Lane,Northern Mariana Islands,455834,203.84,False
Charge,1999,1.1,Mystery,James Conley,116,Korean,519.1,Harris and Sons,Joshua Hammond Jr.,Angela Hughes,Israel,112271,235.02,False
Bit another,1970,4.1,Sci-Fi,Priscilla Davis,166,English,33.61,Webster-Patterson,Kimberly Campbell,Elizabeth Bradley,Kenya,959389,287.81,True
Among account,2010,4.9,Fantasy,Jennifer Jones,147,Hindi,225.21,Mcdonald Group,Erin Gomez,Stephen Simpson,Cote d'Ivoire,547163,245.63,False
Window part raise weight,1971,3.5,Thriller,Diana Allen,134,French,787.0,"Brooks, Stanley and Martinez",Lori Freeman,Benjamin Henry Jr.,French Polynesia,536008,22.45,True
Drop interesting,1976,4.6,Action,Joyce Brown,97,Hindi,986.36,"Boyer, Long and Harrington",Rhonda Marshall MD,Isaiah Gardner,Venezuela,355331,62.59,False
This test popular,2019,1.2,Thriller,Chad Brooks,84,German,2.2,"Walters, Ortiz and Anderson",Paul Miller,Edward Newman,San Marino,789829,114.35,False
Size agent,2016,8.6,Horror,Brian Coleman,81,English,807.9,"Johnson, Cruz and Rodriguez",Jeff Johnson,Teresa Jones,British Indian Ocean Territory (Chagos Archipelago),17211,219.27,True
Very,2002,7.8,Sci-Fi,Emily Allen,89,German,406.85,Harris Inc,Michael Scott,David Reed,United Arab Emirates,143372,261.18,False
Authority better hotel,1973,3.7,Animation,Jennifer Mejia,158,German,357.74,Parker LLC,Debra Miller,Matthew Martin,Bangladesh,984609,178.34,False
Federal soldier board,1979,7.7,Animation,Devon Higgins,155,French,628.18,Howe-Palmer,Rachel Murphy MD,Jaime Branch,Isle of Man,497530,60.02,True
Write laugh you material,1974,1.2,Sci-Fi,Paul Martinez,125,English,287.16,"Andersen, Perez and Jones",Rick Wong,Jacqueline Hudson,Ecuador,169679,16.68,True
Not bank per,2015,2.3,Drama,Steven Woodward,122,Spanish,789.54,"Sanchez, Evans and Young",Holly Wilson,Joseph Gross,Cape Verde,58693,117.5,False
Buy administration beyond,2004,2.5,Romance,Anna Brown,93,Mandarin,419.31,Pitts-Shaffer,Jessica Powell,Michael Salazar,Cyprus,858394,59.73,True
Be source,1978,7.6,Romance,Diana Allen,103,Korean,304.38,"Watkins, Miller and Montgomery",Corey Blackwell,Barbara Holmes,Eritrea,708114,254.85,True
Peace late,2001,6.0,Animation,James Moran,150,Korean,283.13,Roberts Inc,Jeffrey Robinson,Anthony Morgan,Iceland,527940,130.84,False
Cultural discover,2005,8.8,Fantasy,Hayden Mckinney,147,French,221.4,"Mckee, Doyle and Graham",Richard Olson,Tony Jones,Palau,402075,34.79,False
Make pick,1996,3.5,Horror,Seth Jimenez,123,French,936.21,"Shaffer, Taylor and Finley",James Dorsey,Robin Juarez,Guernsey,676957,90.22,True
You paper although,1983,2.1,Thriller,Thomas Hernandez,177,German,801.78,Mason PLC,Amanda Bryan,Lawrence Castro,Tanzania,198733,69.33,False
Green boy,1984,3.2,Fantasy,Jordan Patterson,145,Mandarin,177.7,Richardson-Jackson,Mariah Brown,Ann Smith,Northern Mariana Islands,30565,83.09,False
Site employee,1997,7.2,Horror,Eric Daniel,145,French,207.7,"Nguyen, Johnson and Li",Elizabeth Green,Edward Green,Cape Verde,405592,62.39,True
Own learn bad phone,1975,6.2,Fantasy,Thomas Silva,92,German,18.66,Keith Ltd,Kristin Daniels,Michael Flores,Cambodia,756841,4.26,False
Traditional billion,2006,6.4,Thriller,Amber Farmer,137,Hindi,788.67,Young and Sons,Matthew Strong,Amy Parker,Taiwan,787588,292.89,True
Wear soon between though,2005,2.1,Comedy,Ryan Alvarez,102,Spanish,611.83,"Duffy, Mason and Pena",Joseph Rodriguez,Jennifer Ochoa,Pakistan,218734,74.72,False
Five modern laugh,1994,3.5,Sci-Fi,Rebecca Singleton,106,German,537.33,"Foster, Hawkins and Williams",Katie Christensen,John Fuller,Sudan,789320,47.09,True
Where experience,2021,7.2,Romance,Connie Graham,127,Mandarin,917.52,Thompson-Reyes,Sara Walter,Dennis Ramos,Jamaica,219813,134.32,False
Get good responsibility,1988,2.8,Drama,Dennis Potter,172,German,675.54,Payne and Sons,Gregory Richardson,Antonio Floyd,Korea,764944,235.97,True
Thing,2009,7.1,Thriller,Christine Williams,101,Korean,792.47,Banks-Cruz,John Curry,Sandra Johnson DDS,Svalbard & Jan Mayen Islands,647097,204.22,False
Behavior stock star,2003,3.0,Sci-Fi,Denise Larsen,166,Spanish,637.9,"Campbell, English and Johnson",Cynthia Scott,Kimberly Marsh,Cuba,647483,294.19,False
Better drive,2022,9.4,Sci-Fi,Jessica Nichols,143,Hindi,652.02,Harris-Smith,Cheyenne Sherman,Phillip Ferguson,Madagascar,950097,244.07,True
Production say,1990,5.2,Fantasy,Michael Ali,86,English,476.13,Cox Group,Jennifer Benson,Crystal Obrien,Benin,463889,202.44,False
Bring she true,1987,9.0,Mystery,Dylan Torres,106,Japanese,768.19,Marsh and Sons,Andre Carpenter,Brianna Shah,Finland,108885,210.78,False
Window,2007,9.7,Mystery,James Conley,152,Mandarin,55.06,"Warren, Flynn and Mills",Kimberly Stewart,Wanda Mack,Malta,727005,171.6,False
Assume paper baby decision,1997,2.6,Romance,Margaret Walker,168,French,901.06,Jones Group,Tyler Munoz,Mario Wyatt,French Guiana,999057,180.27,True
Water,1995,9.9,Fantasy,Daniel Carter,104,Korean,252.49,Warner Group,Brett Cox,Vanessa Lynch,Central African Republic,16876,187.57,False
Gas most than,1977,7.0,Horror,Matthew Maynard,173,Japanese,391.22,Parker-Miller,Ian Wagner,Jonathan Clark,Hungary,688667,288.25,False
Trip pattern,1990,4.9,Romance,Michael Hernandez,104,German,630.27,Wilson Ltd,Cynthia Anderson,Tracy Gray,Zimbabwe,608762,157.65,True
Sport so,1977,7.3,Thriller,Denise Vargas,160,Hindi,725.52,"Johnson, Burke and Casey",Danielle Morgan,Marisa Johnson,United States Minor Outlying Islands,922006,154.61,False
Every such,1994,9.8,Animation,Sandra Smith,96,Korean,492.07,Taylor-Graham,Jennifer Diaz,Courtney Flores,Belize,275957,19.52,False
Often lot,1980,3.9,Thriller,Robert Blankenship,139,French,717.71,Gilbert-Espinoza,Brittany Mcneil,Andrew Robles,Macao,542919,235.09,True
Time maintain,1989,5.7,Action,Michael Hill,110,French,489.94,"Hill, Leblanc and Day",Sharon Cunningham,Walter Houston,Afghanistan,900186,93.65,False
Prevent event,2016,2.8,Action,Jessica Nichols,92,Spanish,891.81,Bridges and Sons,Bryan Olson,Mary Hodge MD,Sudan,381509,15.75,True
Close class month,1971,8.5,Animation,Amber Farmer,82,Mandarin,804.9,"Browning, Burns and Perry",Danielle Combs,Felicia Johnson,Australia,553607,248.22,True
Outside short,2006,7.1,Drama,Jennifer Jones,88,Spanish,920.71,"Smith, Schroeder and Mueller",Jason Wong,Christopher Moore,United States Minor Outlying Islands,92180,144.79,False
Since government relate,2008,7.1,Drama,Virginia Johnson,165,Spanish,372.05,Pearson-Skinner,Colin Mcconnell,Larry Williams,Bhutan,791187,249.89,True
Center,2024,5.4,Romance,Mark Singh,177,German,437.47,"Powell, Bauer and Jarvis",Edward Gonzales,Alexis Gray,China,201569,169.39,True
Spend can road,1981,8.6,Sci-Fi,Christine Thompson,139,Spanish,40.06,"Kennedy, Garcia and Freeman",Matthew Nichols,Jennifer Macias,Reunion,811015,132.43,True
Charge it,1988,6.6,Fantasy,Alicia Thomas,99,Mandarin,13.11,"Rocha, Hubbard and Lee",Amanda Decker,Jill Matthews,Bermuda,64076,47.79,True
She nothing,2015,5.4,Mystery,Jeremy Bruce,152,English,826.87,Lee Inc,Corey Davidson,Linda Montgomery MD,Papua New Guinea,604796,114.74,False
Experience,2021,7.8,Drama,Michael Bauer,81,German,442.48,Alvarez PLC,Sheila Payne,Brandi Robles,Guyana,156091,181.77,True
Section Congress practice,2012,5.1,Fantasy,John Reese,161,French,794.94,Blair-Mcdaniel,Jacqueline Flynn,Edward Bowers,Nicaragua,482699,216.89,True
Against religious drop international,2020,1.9,Action,Kenneth Graves,108,Hindi,213.67,"Dixon, Alexander and Miller",John Hunt,Charles Yang,Italy,625450,183.97,True
Ago task north,1988,9.8,Thriller,Kathy Mcdaniel,148,Japanese,992.53,Clark-Williams,Karen Berger,Connor Wise,Cook Islands,512855,164.9,False
Agree daughter month remain,2020,6.8,Mystery,John Leonard,120,German,7.97,Nicholson-Castillo,Justin Scott,David Harrison,Macedonia,625501,262.69,False
Old light provide,1979,2.6,Mystery,Jessica Thompson,108,Japanese,446.22,Cordova Group,David Lewis,Alex Stevens,Rwanda,68865,223.72,False
Claim west bit,2015,1.6,Action,Bridget Perez,157,Korean,162.56,"Salinas, Kim and Garner",Maria Strickland,John Cardenas,Benin,438408,149.25,False
Article impact newspaper,2009,4.2,Romance,Emily Doyle,147,Mandarin,597.46,Romero-Brown,Kim Murphy,Kelly Reynolds,San Marino,442052,282.47,True
Son describe,1995,8.3,Romance,Mr. Matthew Tanner MD,96,Japanese,439.42,"Lewis, Hughes and Peterson",Vanessa Ortiz,Mark Henry,Sierra Leone,743013,232.08,False
Certain my big serve,2014,6.2,Action,Sandra Smith,131,English,259.52,Barron PLC,Lacey Johnson,Jason Meyer,Puerto Rico,444754,230.73,True
Exactly stop range,1980,3.2,Thriller,Sarah Duncan,115,Japanese,598.06,Meadows-Murphy,Angela Mcdonald,Zachary Leonard,Pitcairn Islands,578448,174.68,False
Out military whose,2014,9.4,Romance,Sandra Dickerson,156,Hindi,173.01,Aguilar-Fritz,Cynthia Mercer,William Underwood,Guadeloupe,388717,227.56,True
